25001001,145089
15658001,94883
19032601,86202
9602201,77918
7053201,75075
26947401,69525
11050001,64546
17611001,56203
15809601,54437
11943201,52137
15273201,50423
8317201,48267
18443201,43343
26933201,41956
14631201,41106
7600801,41045
4811001,40838
26024401,40276
15545401,39612
19421001,39378
6831401,38855
26782001,38797
23928601,38077
20975801,38055
9245601,37346
3054001,36879
4915201,36208
28377401,35509
11324001,35441
15656001,35429
19753001,35290
2989401,34769
10714001,34591
9933801,34378
27100801,34088
12917801,33986
23535401,33834
2883001,33698
25278801,33654
27991601,32955
12963601,32603
4071401,32447
9589201,32228
6267001,32005
25592201,31866
10009001,31678
24986801,31283
25575001,30656
6450401,30135
8039001,30071
25829401,29879
23352601,29663
19596201,29662
17814801,29562
14400601,28327
18157001,28012
25950601,27768
14631401,27711
17805401,27493
4862601,27445
10961401,27191
12889201,26858
25473201,26858
23842601,26766
28197401,26671
13330001,26098
9967401,26093
12487801,25968
28145001,25863
18885601,25697
12471801,25455
27607801,25360
25371601,25335
11068001,25256
27683401,25015
9246601,24949
1772401,24746
12320801,24657
3673801,24571
25518201,24343
200231801,24325
6564601,24323
25422601,23531
19401601,23393
201156001,23369
25640201,23224
1106401,23194
23909201,23105
26789601,22755
14157401,22545
27891201,22537
26286001,22503
25676001,22001
14011001,21978
10323801,21726
11108601,21620
24730201,21480
6261601,21269
14944201,21202
10969201,21105
24815401,21085
12603801,20855
13076201,20724
19395601,20691
3593001,20273
24175401,20246
23779201,20205
27151401,20133
3032201,20110
23049801,20011
14662601,19897
22467401,19782
12840801,19782
23830401,19423
8920801,19228
14156601,19195
16008401,19174
13456601,19081
19978001,18636
10621801,18465
200143201,18419
25769601,18416
8547801,18408
6502601,18358
15331201,18358
11245601,18296
9713201,18250
3371801,18248
28430801,18209
25825801,18175
26782201,17964
5890601,17923
20206601,17921
21282801,17909
11194001,17778
25346801,17686
11935401,17684
27034401,17660
3177601,17553
23661801,17391
11955401,17315
24168001,17296
24067401,17252
26487601,17169
26491801,17152
10549001,17106
7166401,17098
12652201,17081
8114601,17010
26627001,16974
12230601,16926
23533601,16887
15449001,16812
23148201,16746
22567201,16682
6463201,16642
3486201,16632
22083401,16598
7755201,16582
24844001,16555
2092201,16508
24959601,16475
4958801,16444
24902401,16423
23908801,16405
13449601,16392
11825201,16302
23849801,16254
26165001,16204
15065001,16080
26373401,16054
15520401,15994
10815601,15974
10379601,15931
23922801,15921
3758201,15913
24950001,15907
16437001,15898
9352001,15798
23355401,15773
3455601,15757
9814001,15743
4943201,15713
8951001,15707
23911201,15677
15923801,15554
18203601,15503
7965201,15333
28783001,15325
9540401,15238
3729201,15161
2735001,15132
12892201,15131
18277201,15087
23049601,15040
25001801,15035
23762801,14995
7833201,14981
11088801,14968
27225801,14874
26338001,14826
24319401,14822
18512601,14765
8036601,14739
15335601,14641
3372601,14633
3073801,14601
24836801,14544
4912001,14512
26110001,14504
27828601,14480
28384201,14342
10443401,14323
25263001,14302
25336401,14241
14685001,14221
16693801,14217
24954001,14156
20417601,14150
17473601,14096
9957601,14037
8776801,14036
20548801,14013
27079001,13983
25303001,13877
24843601,13755
10059801,13750
4655201,13719
12889601,13706
25349201,13695
10882601,13679
3670801,13590
28391201,13586
27728001,13555
18958601,13547
27387801,13543
26846401,13503
20061401,13434
12406801,13419
15478201,13405
24922801,13377
25015201,13335
27544001,13300
2160001,13277
5687601,13276
13448401,13262
6922401,13244
5601401,13236
25754801,13224
25340601,13217
20107001,13194
8748001,13184
19025201,13183
21341401,13084
12769801,13066
12843601,13051
22470401,13043
18897601,13041
8545001,12999
25316401,12995
25650601,12994
13648201,12977
9714001,12964
23845201,12953
19967601,12916
10181001,12843
11756401,12829
27189801,12813
27701601,12794
12320001,12778
27257001,12766
26878801,12748
8407401,12744
9285401,12734
24173401,12722
22087801,12719
18099801,12715
23704201,12702
1565401,12678
25463801,12657
1712801,12643
27815201,12614
19604201,12611
23029401,12592
201153401,12587
18766201,12575
1604001,12531
18510401,12519
25956001,12509
5268601,12457
3596201,12426
12792801,12407
15051201,12305
26602801,12275
16506001,12193
3650001,12192
24993801,12185
1691401,12168
27598201,12162
200262201,12158
6615601,12157
11209601,12147
24809201,12143
15427601,12070
27528401,12020
24813601,12009
14004201,11986
25524401,11958
10271401,11955
11019001,11950
11084201,11946
27842001,11930
25248401,11929
24832001,11926
201030601,11924
27915201,11914
22606001,11908
12602201,11860
22368201,11846
9032801,11822
17534801,11820
9286201,11813
26104801,11800
